Country,Week,Date,First death,Death,Death per 1 million,Lagged death per 1 million,Cases,Lagged cases,Cases per 1 million,Lagged cases per 1 million,Total Tests,Weakly Test,Weakly Tests per 1 millon,Stringency Index,First Lag Stringency Index,Second Lag Stringency Index,Population,UHC service coverage index,Population 65 and above,Smoking,Diabetes,"Mortality from CVD, cancer, diabetes or CRD",Unemployment,GHS Index,GHS Rapid response,GHS Health system,GHS Risk environment,Households with internet,Mobile subscriptions,Doctors,Nurses and midwives,Hospital beds,Capacity to isolate patients,Universal healthcare coverage,Health expenditure,Government effectiveness,Orderly transfers of power,Risk of social unrest,Risk of terrorism,Armed conflict,Government territorial control,International tensions,Poverty,Confidence in government,Urban population,Life expectancy,Government health expenditure,GDP per capita,Human Development Index,Democracy Index,Peace Index,Corruption Index,Rule of Law Index,Constraints on Government Powers,Absence of Corruption,Open Government,Fundamental Rights,Order and Security,Regulatory Enforcement,Civil Justice,Criminal Justice
China,10,20200321,20200111,73,0.05,0.09,477,208,0.34,0.15,,,,66.67,71,76,1392730000,79,10.9,25.6,9.2,17,3.8,48.2,48.6,45.7,64.4,54.3,104.6,181.2,234.2,420,1,0,273.4,2,1,2,3,3,2,1,0.2,2,58,76.25,442,9752,0.8,3.3,2.8,39,0.48,0.32,0.53,0.43,0.29,0.78,0.49,0.53,0.45
China,11,20200328,20200111,34,0.02,0.05,715,477,0.51,0.34,,,,66.67,67,71,1392730000,79,10.9,25.6,9.2,17,3.8,48.2,48.6,45.7,64.4,54.3,104.6,181.2,234.2,420,1,0,273.4,2,1,2,3,3,2,1,0.2,2,58,76.25,442,9752,0.8,3.3,2.8,39,0.48,0.32,0.53,0.43,0.29,0.78,0.49,0.53,0.45
China,12,20200404,20200111,34,0.02,0.02,662,715,0.48,0.51,,,,61.9,67,67,1392730000,79,10.9,25.6,9.2,17,3.8,48.2,48.6,45.7,64.4,54.3,104.6,181.2,234.2,420,1,0,273.4,2,1,2,3,3,2,1,0.2,2,58,76.25,442,9752,0.8,3.3,2.8,39,0.48,0.32,0.53,0.43,0.29,0.78,0.49,0.53,0.45
China,13,20200411,20200111,14,0.01,0.02,508,662,0.36,0.48,,,,47.62,62,67,1392730000,79,10.9,25.6,9.2,17,3.8,48.2,48.6,45.7,64.4,54.3,104.6,181.2,234.2,420,1,0,273.4,2,1,2,3,3,2,1,0.2,2,58,76.25,442,9752,0.8,3.3,2.8,39,0.48,0.32,0.53,0.43,0.29,0.78,0.49,0.53,0.45
Colombia,1,20200330,20200323,4,0.08,0.02,412,162,8.3,3.26,15694,9759,197,88.1,60,31,49648685,76,8.5,9,7.4,15.8,9.1,44.2,43.5,34.3,51,62.3,126.8,182.1,108,150,0,1,167.3,2,3,2,2,2,0,3,1.8,1,80.4,74.38,526,6691,0.7,7,2.3,36,0.5,0.53,0.39,0.64,0.53,0.56,0.52,0.49,0.34
Colombia,2,20200406,20200323,26,0.52,0.08,798,412,16.07,8.3,25645,9951,200,88.1,88,60,49648685,76,8.5,9,7.4,15.8,9.1,44.2,43.5,34.3,51,62.3,126.8,182.1,108,150,0,1,167.3,2,3,2,2,2,0,3,1.8,1,80.4,74.38,526,6691,0.7,7,2.3,36,0.5,0.53,0.39,0.64,0.53,0.56,0.52,0.49,0.34
Colombia,3,20200413,20200323,68,1.37,0.52,1303,798,26.24,16.07,47716,22071,445,95.24,88,88,49648685,76,8.5,9,7.4,15.8,9.1,44.2,43.5,34.3,51,62.3,126.8,182.1,108,150,0,1,167.3,2,3,2,2,2,0,3,1.8,1,80.4,74.38,526,6691,0.7,7,2.3,36,0.5,0.53,0.39,0.64,0.53,0.56,0.52,0.49,0.34
Costa Rica,1,20200325,20200318,1,0.2,0.2,127,37,25.4,7.4,1813,961,192,85.71,71,43,4999441,77,9.5,11.9,9.1,11.5,11.5,45.1,36.6,24.8,71.7,71.6,130,115,79.6,120,0,1,276.5,3,4,2,4,4,2,3,0.5,2,78.6,79.83,933,12145,0.8,8.1,3.3,56,0.68,0.76,0.66,0.7,0.79,0.68,0.67,0.62,0.57
Costa Rica,2,20200401,20200318,0,0,0.2,137,127,27.4,25.4,4146,2333,467,85.71,86,71,4999441,77,9.5,11.9,9.1,11.5,11.5,45.1,36.6,24.8,71.7,71.6,130,115,79.6,120,0,1,276.5,3,4,2,4,4,2,3,0.5,2,78.6,79.83,933,12145,0.8,8.1,3.3,56,0.68,0.76,0.66,0.7,0.79,0.68,0.67,0.62,0.57
Costa Rica,3,20200408,20200318,0,0,0,153,137,30.6,27.4,5963,1817,363,100,86,86,4999441,77,9.5,11.9,9.1,11.5,11.5,45.1,36.6,24.8,71.7,71.6,130,115,79.6,120,0,1,276.5,3,4,2,4,4,2,3,0.5,2,78.6,79.83,933,12145,0.8,8.1,3.3,56,0.68,0.76,0.66,0.7,0.79,0.68,0.67,0.62,0.57
