Country,Week,Date,First death,Death,Death per 1 million,Lagged death per 1 million,Cases,Lagged cases,Cases per 1 million,Lagged cases per 1 million,Total Tests,Weakly Test,Weakly Tests per 1 millon,Stringency Index,First Lag Stringency Index,Second Lag Stringency Index,Population,UHC service coverage index,Population 65 and above,Smoking,Diabetes,"Mortality from CVD, cancer, diabetes or CRD",Unemployment,GHS Index,GHS Rapid response,GHS Health system,GHS Risk environment,Households with internet,Mobile subscriptions,Doctors,Nurses and midwives,Hospital beds,Capacity to isolate patients,Universal healthcare coverage,Health expenditure,Government effectiveness,Orderly transfers of power,Risk of social unrest,Risk of terrorism,Armed conflict,Government territorial control,International tensions,Poverty,Confidence in government,Urban population,Life expectancy,Government health expenditure,GDP per capita,Human Development Index,Democracy Index,Peace Index,Corruption Index,Rule of Law Index,Constraints on Government Powers,Absence of Corruption,Open Government,Fundamental Rights,Order and Security,Regulatory Enforcement,Civil Justice,Criminal Justice
Egypt,5,20200412,20200308,75,0.76,0.36,869,494,8.83,5.02,,,,100,95,95,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
Egypt,6,20200419,20200308,78,0.79,0.76,1093,869,11.11,8.83,,,,100,100,95,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
Estonia,1,20200402,20200326,4,3.03,0.76,375,137,283.67,103.63,18270,10148,7676,71.43,71,57,1321977,75,19.6,31.3,4.2,17,5.4,57,47,31.6,73.3,88.1,130,343,636.7,500,1,1,450.9,4,3,2,3,4,2,1,0.4,2,68.7,77.74,1499,22982,0.9,8,3.3,73,0.81,0.83,0.79,0.81,0.82,0.89,0.79,0.8,0.71
Estonia,2,20200409,20200326,19,14.37,3.03,406,375,307.12,283.67,27870,9600,7262,71.43,71,71,1321977,75,19.6,31.3,4.2,17,5.4,57,47,31.6,73.3,88.1,130,343,636.7,500,1,1,450.9,4,3,2,3,4,2,1,0.4,2,68.7,77.74,1499,22982,0.9,8,3.3,73,0.81,0.83,0.79,0.81,0.82,0.89,0.79,0.8,0.71
Estonia,3,20200416,20200326,11,8.32,14.37,217,406,164.15,307.12,37581,9711,7346,71.43,71,71,1321977,75,19.6,31.3,4.2,17,5.4,57,47,31.6,73.3,88.1,130,343,636.7,500,1,1,450.9,4,3,2,3,4,2,1,0.4,2,68.7,77.74,1499,22982,0.9,8,3.3,73,0.81,0.83,0.79,0.81,0.82,0.89,0.79,0.8,0.71
Finland,1,20200328,20200321,6,1.09,0.18,504,311,91.38,56.39,20237,10596,1921,90.48,90,33,5515525,78,21.7,20.4,5.6,10.2,7.4,68.7,69.2,60.8,81.1,87.5,130,319.6,1503.2,440,1,1,837,4,4,2,3,3,2,2,0,2,85.3,81.78,3181,49787,0.9,9.1,3.5,85,0.87,0.92,0.89,0.86,0.91,0.91,0.86,0.81,0.83
Finland,2,20200404,20200321,13,2.36,1.09,590,504,106.97,91.38,31655,11418,2070,90.48,90,90,5515525,78,21.7,20.4,5.6,10.2,7.4,68.7,69.2,60.8,81.1,87.5,130,319.6,1503.2,440,1,1,837,4,4,2,3,3,2,2,0,2,85.3,81.78,3181,49787,0.9,9.1,3.5,85,0.87,0.92,0.89,0.86,0.91,0.91,0.86,0.81,0.83
Finland,3,20200411,20200321,28,5.08,2.36,1154,590,209.23,106.97,47465,15810,2866,90.48,90,90,5515525,78,21.7,20.4,5.6,10.2,7.4,68.7,69.2,60.8,81.1,87.5,130,319.6,1503.2,440,1,1,837,4,4,2,3,3,2,2,0,2,85.3,81.78,3181,49787,0.9,9.1,3.5,85,0.87,0.92,0.89,0.86,0.91,0.91,0.86,0.81,0.83
Finland,4,20200418,20200321,34,6.16,5.08,720,1154,130.54,209.23,62950,15485,2808,90.48,90,90,5515525,78,21.7,20.4,5.6,10.2,7.4,68.7,69.2,60.8,81.1,87.5,130,319.6,1503.2,440,1,1,837,4,4,2,3,3,2,2,0,2,85.3,81.78,3181,49787,0.9,9.1,3.5,85,0.87,0.92,0.89,0.86,0.91,0.91,0.86,0.81,0.83
France,1,20200222,20200215,0,0,0.01,1,0,0.01,0,,,,16.67,17,17,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,2,20200229,20200215,1,0.01,0,88,1,1.31,0.01,146,146,2,38.1,17,17,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,3,20200307,20200215,8,0.12,0.01,606,88,9.05,1.31,3594,3448,51,47.62,38,17,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,4,20200314,20200215,81,1.21,0.12,3763,606,56.18,9.05,15018,11424,171,47.62,48,38,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,5,20200321,20200215,471,7.03,1.21,9827,3763,146.72,56.18,36747,21729,324,95.24,48,48,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,6,20200328,20200215,1430,21.35,7.03,18246,9827,272.42,146.72,107546,70799,1057,95.24,95,48,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,7,20200404,20200215,4501,67.2,21.35,30994,18246,462.76,272.42,224254,116708,1743,95.24,95,95,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,8,20200411,20200215,6686,99.83,67.2,26147,30994,390.39,462.76,333807,109553,1636,95.24,95,95,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
France,9,20200418,20200215,5480,81.82,99.83,18480,26147,275.92,390.39,463662,129855,1939,95.24,95,95,66977107,78,20,32.7,4.8,10.6,9.1,68.2,62.9,60.9,83,80.5,106.2,323.8,1060.5,650,1,1,466.6,4,4,2,2,4,2,3,0,1,80.2,82.27,3964,42583,0.9,7.8,3.1,72,0.73,0.73,0.74,0.78,0.73,0.75,0.76,0.71,0.62
Germany,1,20200316,20200309,10,0.12,0.01,4873,981,58.78,11.83,252173,127457,1537,45.24,31,31,82905782,83,21.5,30.6,10.4,12.1,3.4,66,54.8,48.2,82.3,84.4,129.1,419.1,1379.4,830,1,1,678,4,4,3,3,4,2,2,0,2,77.3,80.64,4626,48363,0.9,8.7,3.5,80,0.84,0.85,0.82,0.79,0.85,0.89,0.85,0.85,0.79
Germany,2,20200323,20200309,82,0.99,0.12,18762,4873,226.31,58.78,600792,348619,4205,73.81,45,31,82905782,83,21.5,30.6,10.4,12.1,3.4,66,54.8,48.2,82.3,84.4,129.1,419.1,1379.4,830,1,1,678,4,4,3,3,4,2,2,0,2,77.3,80.64,4626,48363,0.9,8.7,3.5,80,0.84,0.85,0.82,0.79,0.85,0.89,0.85,0.85,0.79
Germany,3,20200330,20200309,361,4.35,0.99,32524,18762,392.3,226.31,962166,361374,4359,73.81,74,45,82905782,83,21.5,30.6,10.4,12.1,3.4,66,54.8,48.2,82.3,84.4,129.1,419.1,1379.4,830,1,1,678,4,4,3,3,4,2,2,0,2,77.3,80.64,4626,48363,0.9,8.7,3.5,80,0.84,0.85,0.82,0.79,0.85,0.89,0.85,0.85,0.79
Germany,4,20200406,20200309,979,11.81,4.35,38093,32524,459.47,392.3,1370339,408173,4923,73.81,74,74,82905782,83,21.5,30.6,10.4,12.1,3.4,66,54.8,48.2,82.3,84.4,129.1,419.1,1379.4,830,1,1,678,4,4,3,3,4,2,2,0,2,77.3,80.64,4626,48363,0.9,8.7,3.5,80,0.84,0.85,0.82,0.79,0.85,0.89,0.85,0.85,0.79
Germany,5,20200413,20200309,1365,16.46,11.81,27625,38093,333.21,459.47,1749220,378881,4570,85.71,74,74,82905782,83,21.5,30.6,10.4,12.1,3.4,66,54.8,48.2,82.3,84.4,129.1,419.1,1379.4,830,1,1,678,4,4,3,3,4,2,2,0,2,77.3,80.64,4626,48363,0.9,8.7,3.5,80,0.84,0.85,0.82,0.79,0.85,0.89,0.85,0.85,0.79
Greece,1,20200319,20200312,4,0.37,0.09,319,67,29.72,6.24,7172,7172,668,52.38,43,24,10731726,75,21.7,43.4,4.7,12.4,19.3,53.8,44,37.6,58.2,69.1,115.9,625.5,340.7,430,1,1,776.6,2,4,2,2,4,2,2,0.8,0,78.7,81.04,1374,19518,0.9,7.3,3.1,45,0.61,0.68,0.56,0.61,0.65,0.71,0.58,0.59,0.5
Greece,2,20200326,20200312,17,1.58,0.37,403,319,37.55,29.72,13477,6305,588,66.67,52,43,10731726,75,21.7,43.4,4.7,12.4,19.3,53.8,44,37.6,58.2,69.1,115.9,625.5,340.7,430,1,1,776.6,2,4,2,2,4,2,2,0.8,0,78.7,81.04,1374,19518,0.9,7.3,3.1,45,0.61,0.68,0.56,0.61,0.65,0.71,0.58,0.59,0.5
Greece,3,20200402,20200312,28,2.61,1.58,554,403,51.62,37.55,18844,5367,500,66.67,67,52,10731726,75,21.7,43.4,4.7,12.4,19.3,53.8,44,37.6,58.2,69.1,115.9,625.5,340.7,430,1,1,776.6,2,4,2,2,4,2,2,0.8,0,78.7,81.04,1374,19518,0.9,7.3,3.1,45,0.61,0.68,0.56,0.61,0.65,0.71,0.58,0.59,0.5
Greece,4,20200409,20200312,33,3.07,2.61,509,554,47.43,51.62,33634,14790,1378,66.67,67,67,10731726,75,21.7,43.4,4.7,12.4,19.3,53.8,44,37.6,58.2,69.1,115.9,625.5,340.7,430,1,1,776.6,2,4,2,2,4,2,2,0.8,0,78.7,81.04,1374,19518,0.9,7.3,3.1,45,0.61,0.68,0.56,0.61,0.65,0.71,0.58,0.59,0.5
Greece,5,20200416,20200312,19,1.77,3.07,308,509,28.7,47.43,49390,15756,1468,66.67,67,67,10731726,75,21.7,43.4,4.7,12.4,19.3,53.8,44,37.6,58.2,69.1,115.9,625.5,340.7,430,1,1,776.6,2,4,2,2,4,2,2,0.8,0,78.7,81.04,1374,19518,0.9,7.3,3.1,45,0.61,0.68,0.56,0.61,0.65,0.71,0.58,0.59,0.5
Honduras,1,20200402,20200326,9,0.94,0.1,120,40,12.52,4.17,,,,100,71,71,9587522,65,4.7,2,7.3,14,5.6,27.6,26.5,12,39.5,30,88.9,39,113.3,70,0,1,180.2,1,1,1,4,3,0,3,6.3,1,56.5,73.58,184,2526,0.6,5.6,2.7,29,0.4,0.34,0.32,0.42,0.41,0.66,0.39,0.41,0.26
Honduras,2,20200409,20200326,12,1.25,0.94,140,120,14.6,12.52,,,,100,100,71,9587522,65,4.7,2,7.3,14,5.6,27.6,26.5,12,39.5,30,88.9,39,113.3,70,0,1,180.2,1,1,1,4,3,0,3,6.3,1,56.5,73.58,184,2526,0.6,5.6,2.7,29,0.4,0.34,0.32,0.42,0.41,0.66,0.39,0.41,0.26
Honduras,3,20200416,20200326,9,0.94,1.25,107,140,11.16,14.6,,,,100,100,100,9587522,65,4.7,2,7.3,14,5.6,27.6,26.5,12,39.5,30,88.9,39,113.3,70,0,1,180.2,1,1,1,4,3,0,3,6.3,1,56.5,73.58,184,2526,0.6,5.6,2.7,29,0.4,0.34,0.32,0.42,0.41,0.66,0.39,0.41,0.26
Hungary,1,20200322,20200315,3,0.31,0.1,99,24,10.13,2.46,4443,3207,328,85.71,67,14,9775564,74,19.2,30.6,6.9,23,3.7,54,52.2,36.6,68.2,76.8,123.8,309.3,663.3,700,0,1,583,2,3,3,4,4,2,2,0.3,1,71.1,75.57,1293,16045,0.8,6.6,3.5,46,0.53,0.4,0.51,0.46,0.58,0.89,0.47,0.45,0.47
Hungary,2,20200329,20200315,9,0.92,0.31,277,99,28.34,10.13,12148,7705,788,90.48,86,67,9775564,74,19.2,30.6,6.9,23,3.7,54,52.2,36.6,68.2,76.8,123.8,309.3,663.3,700,0,1,583,2,3,3,4,4,2,2,0.3,1,71.1,75.57,1293,16045,0.8,6.6,3.5,46,0.53,0.4,0.51,0.46,0.58,0.89,0.47,0.45,0.47
Hungary,3,20200405,20200315,21,2.15,0.92,325,277,33.25,28.34,21250,9102,931,90.48,90,86,9775564,74,19.2,30.6,6.9,23,3.7,54,52.2,36.6,68.2,76.8,123.8,309.3,663.3,700,0,1,583,2,3,3,4,4,2,2,0.3,1,71.1,75.57,1293,16045,0.8,6.6,3.5,46,0.53,0.4,0.51,0.46,0.58,0.89,0.47,0.45,0.47
Hungary,4,20200412,20200315,65,6.65,2.15,677,325,69.25,33.25,33532,12282,1256,90.48,90,90,9775564,74,19.2,30.6,6.9,23,3.7,54,52.2,36.6,68.2,76.8,123.8,309.3,663.3,700,0,1,583,2,3,3,4,4,2,2,0.3,1,71.1,75.57,1293,16045,0.8,6.6,3.5,46,0.53,0.4,0.51,0.46,0.58,0.89,0.47,0.45,0.47
Hungary,5,20200419,20200315,90,9.21,6.65,506,677,51.76,69.25,46353,12821,1312,90.48,90,90,9775564,74,19.2,30.6,6.9,23,3.7,54,52.2,36.6,68.2,76.8,123.8,309.3,663.3,700,0,1,583,2,3,3,4,4,2,2,0.3,1,71.1,75.57,1293,16045,0.8,6.6,3.5,46,0.53,0.4,0.51,0.46,0.58,0.89,0.47,0.45,0.47
Iceland,1,20200327,20200320,1,2.84,2.84,393,292,1114.2,827.85,14594,4867,13798,52.38,38,14,352721,84,14.8,14.7,5.8,9.1,2.7,46.3,44,46.4,81.2,98.2,122.6,379.1,1517.6,320,1,1,716.1,4,4,4,4,4,2,3,0,1,93.8,82.47,3460,74278,0.9,9.6,3.9,76,,,,,,,,,
Iceland,2,20200403,20200320,2,5.67,2.84,517,393,1465.75,1114.2,23599,9005,25530,61.9,52,38,352721,84,14.8,14.7,5.8,9.1,2.7,46.3,44,46.4,81.2,98.2,122.6,379.1,1517.6,320,1,1,716.1,4,4,4,4,4,2,3,0,1,93.8,82.47,3460,74278,0.9,9.6,3.9,76,,,,,,,,,
Iceland,3,20200410,20200320,2,5.67,5.67,329,517,932.75,1465.75,34594,10995,31172,61.9,62,52,352721,84,14.8,14.7,5.8,9.1,2.7,46.3,44,46.4,81.2,98.2,122.6,379.1,1517.6,320,1,1,716.1,4,4,4,4,4,2,3,0,1,93.8,82.47,3460,74278,0.9,9.6,3.9,76,,,,,,,,,
Iceland,4,20200417,20200320,2,5.67,5.67,91,329,257.99,932.75,41050,6456,18303,61.9,62,62,352721,84,14.8,14.7,5.8,9.1,2.7,46.3,44,46.4,81.2,98.2,122.6,379.1,1517.6,320,1,1,716.1,4,4,4,4,4,2,3,0,1,93.8,82.47,3460,74278,0.9,9.6,3.9,76,,,,,,,,,
India,1,20200320,20200313,3,0,0,114,50,0.08,0.04,14376,7876,6,85.71,48,48,1352617328,55,6.2,11.5,10.4,23.3,5.3,46.5,52.4,42.7,54.4,29.5,87.3,75.8,209.4,70,1,0,155.9,1,4,2,3,3,2,2,4.3,2,33.6,68.56,61,1971,0.6,7.2,2.4,41,0.51,0.61,0.42,0.61,0.51,0.59,0.49,0.45,0.4
India,2,20200327,20200313,13,0.01,0,529,114,0.39,0.08,27688,13312,10,100,86,48,1352617328,55,6.2,11.5,10.4,23.3,5.3,46.5,52.4,42.7,54.4,29.5,87.3,75.8,209.4,70,1,0,155.9,1,4,2,3,3,2,2,4.3,2,33.6,68.56,61,1971,0.6,7.2,2.4,41,0.51,0.61,0.42,0.61,0.51,0.59,0.49,0.45,0.4
India,3,20200403,20200313,39,0.03,0.01,1577,529,1.17,0.39,69245,41557,31,100,100,86,1352617328,55,6.2,11.5,10.4,23.3,5.3,46.5,52.4,42.7,54.4,29.5,87.3,75.8,209.4,70,1,0,155.9,1,4,2,3,3,2,2,4.3,2,33.6,68.56,61,1971,0.6,7.2,2.4,41,0.51,0.61,0.42,0.61,0.51,0.59,0.49,0.45,0.4
India,4,20200410,20200313,143,0.11,0.03,4111,1577,3.04,1.17,161330,92085,68,100,100,100,1352617328,55,6.2,11.5,10.4,23.3,5.3,46.5,52.4,42.7,54.4,29.5,87.3,75.8,209.4,70,1,0,155.9,1,4,2,3,3,2,2,4.3,2,33.6,68.56,61,1971,0.6,7.2,2.4,41,0.51,0.61,0.42,0.61,0.51,0.59,0.49,0.45,0.4
India,5,20200417,20200313,238,0.18,0.11,6975,4111,5.16,3.04,335123,173793,128,100,100,100,1352617328,55,6.2,11.5,10.4,23.3,5.3,46.5,52.4,42.7,54.4,29.5,87.3,75.8,209.4,70,1,0,155.9,1,4,2,3,3,2,2,4.3,2,33.6,68.56,61,1971,0.6,7.2,2.4,41,0.51,0.61,0.42,0.61,0.51,0.59,0.49,0.45,0.4
Indonesia,1,20200318,20200311,18,0.07,0,200,25,0.75,0.09,1255,1255,5,71.43,33,38,267663435,57,5.9,39.4,6.3,26.4,4.4,56.6,54.3,39.4,53.7,32.3,130,20.1,130.3,120,1,1,135.4,2,3,2,2,3,2,2,0.9,2,54.7,69.19,162,3963,0.7,6.4,3.2,38,0.53,0.68,0.39,0.55,0.52,0.68,0.55,0.46,0.39
Indonesia,2,20200325,20200311,39,0.15,0.07,563,200,2.1,0.75,2863,1608,6,80.95,71,33,267663435,57,5.9,39.4,6.3,26.4,4.4,56.6,54.3,39.4,53.7,32.3,130,20.1,130.3,120,1,1,135.4,2,3,2,2,3,2,2,0.9,2,54.7,69.19,162,3963,0.7,6.4,3.2,38,0.53,0.68,0.39,0.55,0.52,0.68,0.55,0.46,0.39
Indonesia,3,20200401,20200311,99,0.37,0.15,887,563,3.31,2.1,6777,3914,15,80.95,81,71,267663435,57,5.9,39.4,6.3,26.4,4.4,56.6,54.3,39.4,53.7,32.3,130,20.1,130.3,120,1,1,135.4,2,3,2,2,3,2,2,0.9,2,54.7,69.19,162,3963,0.7,6.4,3.2,38,0.53,0.68,0.39,0.55,0.52,0.68,0.55,0.46,0.39
Indonesia,4,20200408,20200311,83,0.31,0.37,1279,887,4.78,3.31,14571,7794,29,80.95,81,81,267663435,57,5.9,39.4,6.3,26.4,4.4,56.6,54.3,39.4,53.7,32.3,130,20.1,130.3,120,1,1,135.4,2,3,2,2,3,2,2,0.9,2,54.7,69.19,162,3963,0.7,6.4,3.2,38,0.53,0.68,0.39,0.55,0.52,0.68,0.55,0.46,0.39
Indonesia,5,20200415,20200311,229,0.86,0.31,2180,1279,8.14,4.78,33001,18430,69,80.95,81,81,267663435,57,5.9,39.4,6.3,26.4,4.4,56.6,54.3,39.4,53.7,32.3,130,20.1,130.3,120,1,1,135.4,2,3,2,2,3,2,2,0.9,2,54.7,69.19,162,3963,0.7,6.4,3.2,38,0.53,0.68,0.39,0.55,0.52,0.68,0.55,0.46,0.39
Iran,1,20200226,20200219,17,0.21,0.01,137,2,1.67,0.02,,,,33.33,0,0,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,2,20200304,20200219,73,0.89,0.21,2783,137,34.02,1.67,,,,33.33,33,0,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,3,20200311,20200219,262,3.2,0.89,6078,2783,74.3,34.02,,,,61.9,33,33,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,4,20200318,20200219,781,9.55,3.2,8361,6078,102.21,74.3,,,,66.67,62,33,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,5,20200325,20200219,942,11.52,9.55,9656,8361,118.04,102.21,,,,66.67,67,62,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,6,20200401,20200219,959,11.72,11.52,20576,9656,251.54,118.04,189790,,,76.19,67,67,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,7,20200408,20200219,957,11.7,11.72,16993,20576,207.74,251.54,263388,73598,900,76.19,76,67,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iran,8,20200415,20200219,784,9.58,11.7,11803,16993,144.29,207.74,341662,78274,957,66.67,76,76,81800269,72,6.2,11,9.6,14.8,12.1,37.7,33.7,34.6,50.3,60.4,107.3,149.1,155.1,150,1,1,606.6,0,1,1,2,2,2,0,0,2,74.4,75.95,853,5105,0.8,2.5,2.5,28,0.43,0.37,0.43,0.28,0.22,0.73,0.46,0.55,0.37
Iraq,1,20200311,20200304,5,0.13,0.03,34,31,0.88,0.81,,,,66.67,67,43,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Iraq,2,20200318,20200304,5,0.13,0.13,94,34,2.45,0.88,,,,85.71,67,67,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Iraq,3,20200325,20200304,17,0.44,0.13,182,94,4.74,2.45,,,,85.71,86,67,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Iraq,4,20200401,20200304,21,0.55,0.44,348,182,9.05,4.74,,,,85.71,86,86,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Iraq,5,20200408,20200304,15,0.39,0.55,428,348,11.14,9.05,,,,90.48,86,86,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Iraq,6,20200415,20200304,14,0.36,0.39,293,428,7.62,11.14,,,,90.48,90,86,38433600,61,3.3,,8.8,21.3,13,25.8,19.5,11.8,29.2,49.4,87.1,85.4,181,140,0,1,377.5,0,1,0,0,1,0,0,0.4,1,70.3,69.86,154,5401,0.7,4.1,1.6,18,,,,,,,,,
Ireland,1,20200318,20200311,1,0.21,0.21,249,41,51.16,8.42,6636,4852,997,52.38,7,7,4867309,76,13.9,24.3,3.2,10.3,5.7,59,45.1,40.2,77.4,84.5,102.9,296.1,1239.8,280,1,0,688.5,3,4,2,3,3,2,3,0.2,1,62.9,81.61,3819,78282,0.9,9.2,3.6,73,,,,,,,,,
Ireland,2,20200325,20200311,5,1.03,0.21,1037,249,213.05,51.16,17992,11356,2333,61.9,52,7,4867309,76,13.9,24.3,3.2,10.3,5.7,59,45.1,40.2,77.4,84.5,102.9,296.1,1239.8,280,1,0,688.5,3,4,2,3,3,2,3,0.2,1,62.9,81.61,3819,78282,0.9,9.2,3.6,73,,,,,,,,,
Ireland,3,20200401,20200311,64,13.15,1.03,1906,1037,391.59,213.05,30213,12221,2511,85.71,62,52,4867309,76,13.9,24.3,3.2,10.3,5.7,59,45.1,40.2,77.4,84.5,102.9,296.1,1239.8,280,1,0,688.5,3,4,2,3,3,2,3,0.2,1,62.9,81.61,3819,78282,0.9,9.2,3.6,73,,,,,,,,,
Ireland,4,20200408,20200311,139,28.56,13.15,2474,1906,508.29,391.59,42484,12271,2521,85.71,86,62,4867309,76,13.9,24.3,3.2,10.3,5.7,59,45.1,40.2,77.4,84.5,102.9,296.1,1239.8,280,1,0,688.5,3,4,2,3,3,2,3,0.2,1,62.9,81.61,3819,78282,0.9,9.2,3.6,73,,,,,,,,,
Ireland,5,20200415,20200311,196,40.27,28.56,5770,2474,1185.46,508.29,90646,48162,9895,85.71,86,86,4867309,76,13.9,24.3,3.2,10.3,5.7,59,45.1,40.2,77.4,84.5,102.9,296.1,1239.8,280,1,0,688.5,3,4,2,3,3,2,3,0.2,1,62.9,81.61,3819,78282,0.9,9.2,3.6,73,,,,,,,,,
Israel,1,20200228,20200221,0,0,0.11,4,1,0.45,0.11,1094,622,70,28.57,29,29,8882800,82,12,25.2,9.7,9.6,4,47.3,39.9,42.2,68.8,81.6,126.7,357.6,507.2,310,1,1,653.1,3,3,3,2,3,1,0,0.3,1,92.3,82.41,1777,41685,0.9,7.8,2.3,61,,,,,,,,,
